date,hour,count,casual,reg,season,holiday,weekday,workingday,weathersit,temp,hum
2012-08-01,18:00h,891,105,786,3,0,Thursday,1,3,0.76,0.62
2012-10-18,17:00h,890,102,788,4,0,Friday,1,2,0.58,0.64
2012-10-17,17:00h,888,122,766,4,0,Thursday,1,1,0.54,0.56
2012-10-04,18:00h,887,75,812,4,0,Friday,1,1,0.66,0.57
2012-09-19,17:00h,886,74,812,3,0,Thursday,1,1,0.6,0.38
2012-10-25,17:00h,886,112,774,4,0,Friday,1,1,0.6,0.69
2012-09-26,18:00h,884,69,815,4,0,Thursday,1,1,0.74,0.48
2012-09-13,17:00h,884,97,787,3,0,Friday,1,1,0.72,0.42
2012-10-17,18:00h,884,90,794,4,0,Thursday,1,1,0.52,0.59
2012-08-21,17:00h,878,92,786,3,0,Wednesday,1,1,0.74,0.51
2012-07-24,18:00h,877,110,767,3,0,Wednesday,1,1,0.76,0.62
2012-09-11,18:00h,877,110,767,3,0,Wednesday,1,1,0.64,0.36
2012-05-16,17:00h,873,104,769,2,0,Thursday,1,1,0.72,0.51
2012-07-09,18:00h,872,82,790,3,0,Tuesday,1,1,0.76,0.48
2012-07-10,17:00h,872,103,769,3,0,Wednesday,1,1,0.78,0.49
2012-09-10,17:00h,871,127,744,3,0,Tuesday,1,1,0.66,0.34
2012-08-29,17:00h,870,108,762,3,0,Thursday,1,1,0.78,0.35
2012-06-07,17:00h,869,91,778,2,0,Friday,1,1,0.72,0.34
2012-07-24,17:00h,869,94,775,3,0,Wednesday,1,1,0.8,0.52
2012-05-17,18:00h,868,134,734,2,0,Friday,1,1,0.66,0.27
2012-08-07,17:00h,868,125,743,3,0,Wednesday,1,2,0.78,0.62
2012-06-14,17:00h,867,117,750,2,0,Friday,1,1,0.72,0.48
2012-08-02,17:00h,865,90,775,3,0,Friday,1,1,0.82,0.52
2012-08-28,17:00h,864,90,774,3,0,Wednesday,1,1,0.8,0.35
2012-09-05,17:00h,863,83,780,3,0,Thursday,1,1,0.76,0.66
2012-08-08,18:00h,862,117,745,3,0,Thursday,1,2,0.78,0.55
2012-08-06,17:00h,858,112,746,3,0,Tuesday,1,1,0.82,0.41
2012-10-24,18:00h,858,63,795,4,0,Thursday,1,1,0.66,0.44
2012-08-08,17:00h,858,107,751,3,0,Thursday,1,2,0.8,0.55
2012-06-13,17:00h,857,75,782,2,0,Thursday,1,1,0.72,0.32
2012-07-31,18:00h,857,99,758,3,0,Wednesday,1,1,0.76,0.55
2012-10-01,17:00h,856,65,791,4,0,Tuesday,1,3,0.56,0.6
2012-09-04,17:00h,856,110,746,3,0,Wednesday,1,1,0.76,0.7
2012-08-14,18:00h,854,97,757,3,0,Wednesday,1,1,0.76,0.62
2012-09-24,18:00h,853,95,758,4,0,Tuesday,1,1,0.54,0.37
2012-08-30,18:00h,853,109,744,3,0,Friday,1,1,0.8,0.38
2012-09-13,18:00h,852,108,744,3,0,Friday,1,1,0.68,0.57
2012-05-17,17:00h,852,133,719,2,0,Friday,1,1,0.66,0.31
2012-08-15,17:00h,851,102,749,3,0,Thursday,1,1,0.74,0.55
2012-06-05,17:00h,850,86,764,2,0,Wednesday,1,1,0.6,0.43
2012-07-09,17:00h,849,108,741,3,0,Tuesday,1,1,0.78,0.4
2012-08-15,18:00h,848,80,768,3,0,Thursday,1,1,0.74,0.51
2012-07-23,17:00h,847,87,760,3,0,Tuesday,1,1,0.82,0.52
2012-09-21,17:00h,846,107,739,3,0,Saturday,1,1,0.68,0.57
2012-05-16,18:00h,846,97,749,2,0,Thursday,1,1,0.72,0.51
2012-08-27,17:00h,845,101,744,3,0,Tuesday,1,1,0.8,0.46
2012-10-10,18:00h,844,57,787,4,0,Thursday,1,2,0.56,0.49
2012-08-30,17:00h,844,93,751,3,0,Friday,1,1,0.82,0.34
2012-06-27,17:00h,843,113,730,3,0,Thursday,1,1,0.82,0.24
2012-08-06,18:00h,843,100,743,3,0,Tuesday,1,1,0.82,0.41
2012-09-17,17:00h,842,102,740,3,0,Tuesday,1,2,0.64,0.65
2012-10-10,8:00h,839,33,806,4,0,Thursday,1,1,0.5,0.77
2012-09-04,18:00h,839,94,745,3,0,Wednesday,1,1,0.76,0.75
2012-09-05,18:00h,839,82,757,3,0,Thursday,1,1,0.76,0.75
2012-05-30,17:00h,839,83,756,2,0,Thursday,1,1,0.74,0.48
2012-09-26,8:00h,838,30,808,4,0,Thursday,1,1,0.56,0.73
2012-10-16,18:00h,838,71,767,4,0,Wednesday,1,1,0.5,0.42
2012-10-12,17:00h,837,131,706,4,0,Saturday,1,1,0.46,0.38
2012-08-01,17:00h,837,103,734,3,0,Thursday,1,1,0.8,0.49
2012-10-16,8:00h,835,35,800,4,0,Wednesday,1,1,0.44,0.62
2012-09-06,18:00h,835,74,761,3,0,Friday,1,1,0.72,0.7
2012-07-13,17:00h,835,138,697,3,0,Saturday,1,2,0.8,0.36
2012-10-18,8:00h,834,31,803,4,0,Friday,1,1,0.46,0.82
2012-08-27,18:00h,834,83,751,3,0,Tuesday,1,1,0.78,0.52
2012-06-04,17:00h,834,101,733,2,0,Tuesday,1,1,0.64,0.38
2012-06-25,17:00h,833,76,757,3,0,Tuesday,1,1,0.8,0.24
2012-08-16,18:00h,832,109,723,3,0,Friday,1,1,0.8,0.36
2012-06-11,18:00h,831,105,726,2,0,Tuesday,1,2,0.8,0.43
2012-07-11,17:00h,830,90,740,3,0,Thursday,1,1,0.8,0.31
2012-03-23,18:00h,830,237,593,2,0,Saturday,1,1,0.7,0.45
2012-10-11,17:00h,827,90,737,4,0,Friday,1,1,0.5,0.39
2012-05-31,17:00h,827,85,742,2,0,Friday,1,1,0.76,0.31
2012-07-30,17:00h,827,62,765,3,0,Tuesday,1,1,0.76,0.55
2012-10-23,18:00h,826,64,762,4,0,Wednesday,1,1,0.62,0.53
2012-07-12,18:00h,825,86,739,3,0,Friday,1,1,0.76,0.45
2012-06-26,18:00h,824,105,719,3,0,Wednesday,1,1,0.72,0.28
2012-06-14,18:00h,823,107,716,2,0,Friday,1,1,0.74,0.42
2012-06-15,17:00h,823,125,698,2,0,Saturday,1,1,0.74,0.37
2012-09-25,18:00h,822,64,758,4,0,Wednesday,1,1,0.64,0.41
2012-04-05,17:00h,822,145,677,2,0,Friday,1,1,0.5,0.31
2012-06-04,18:00h,822,103,719,2,0,Tuesday,1,1,0.64,0.38
2012-08-23,17:00h,820,111,709,3,0,Friday,1,1,0.76,0.45
2012-07-31,17:00h,820,94,726,3,0,Wednesday,1,1,0.78,0.52
2012-07-10,18:00h,819,70,749,3,0,Wednesday,1,3,0.7,0.74
2012-04-20,17:00h,819,122,697,2,0,Saturday,1,1,0.64,0.47
2012-08-13,17:00h,818,102,716,3,0,Tuesday,1,1,0.8,0.36
2012-08-28,18:00h,818,82,736,3,0,Wednesday,1,1,0.78,0.4
2012-10-17,8:00h,817,38,779,4,0,Thursday,1,2,0.4,0.76
2012-10-26,17:00h,817,125,692,4,0,Saturday,1,2,0.56,0.76
2012-08-20,18:00h,815,89,726,3,0,Tuesday,1,2,0.62,0.78
2012-08-07,18:00h,814,103,711,3,0,Wednesday,1,2,0.76,0.62
2012-07-11,18:00h,814,79,735,3,0,Thursday,1,1,0.78,0.38
2012-05-02,18:00h,813,43,770,2,0,Thursday,1,1,0.56,0.73
2012-06-07,18:00h,813,110,703,2,0,Friday,1,1,0.7,0.34
2012-08-13,18:00h,812,103,709,3,0,Tuesday,1,1,0.76,0.52
2012-08-29,18:00h,812,119,693,3,0,Thursday,1,1,0.74,0.42
2012-07-30,18:00h,812,77,735,3,0,Tuesday,1,1,0.76,0.58
2012-05-18,17:00h,812,124,688,2,0,Saturday,1,1,0.66,0.34
2012-08-14,17:00h,812,78,734,3,0,Wednesday,1,3,0.76,0.66
2012-08-24,17:00h,812,117,695,3,0,Saturday,1,2,0.74,0.51
2012-08-09,18:00h,811,78,733,3,0,Friday,1,2,0.82,0.46
2012-06-19,17:00h,811,86,725,2,0,Wednesday,1,1,0.8,0.55
2012-08-09,17:00h,810,111,699,3,0,Friday,1,1,0.86,0.36
2012-10-03,18:00h,810,54,756,4,0,Thursday,1,1,0.7,0.65
2012-03-22,17:00h,810,154,656,2,0,Friday,1,1,0.66,0.65
2012-10-03,8:00h,809,28,781,4,0,Thursday,1,2,0.62,0.88
2012-10-25,18:00h,809,77,732,4,0,Friday,1,1,0.56,0.83
2012-09-06,17:00h,808,67,741,3,0,Friday,1,1,0.74,0.7
2012-09-14,18:00h,808,116,692,3,0,Saturday,1,1,0.72,0.45
2012-09-28,17:00h,808,101,707,4,0,Saturday,1,2,0.66,0.54
2012-08-29,8:00h,808,28,780,3,0,Thursday,1,1,0.66,0.61
2012-10-09,17:00h,806,73,733,4,0,Wednesday,1,2,0.52,0.68
2012-09-25,8:00h,805,41,764,4,0,Wednesday,1,1,0.48,0.67
2012-09-21,18:00h,805,106,699,3,0,Saturday,1,1,0.66,0.61
2012-06-27,18:00h,804,85,719,3,0,Thursday,1,1,0.8,0.27
2012-10-24,8:00h,801,24,777,4,0,Thursday,1,2,0.52,0.83
2012-03-20,18:00h,801,136,665,1,0,Wednesday,1,1,0.6,0.69
2012-03-19,18:00h,801,120,681,1,0,Tuesday,1,1,0.64,0.57
2012-03-22,18:00h,801,147,654,2,0,Friday,1,1,0.66,0.65
2012-06-11,17:00h,800,85,715,2,0,Tuesday,1,2,0.8,0.41
2012-04-03,18:00h,800,139,661,2,0,Wednesday,1,1,0.6,0.26
2012-10-11,8:00h,798,25,773,4,0,Friday,1,1,0.38,0.46
2012-05-24,17:00h,798,120,678,2,0,Friday,1,1,0.74,0.55
2012-09-19,8:00h,797,39,758,3,0,Thursday,1,1,0.52,0.59
2012-05-30,18:00h,796,50,746,2,0,Thursday,1,1,0.74,0.48
2012-06-19,18:00h,795,91,704,2,0,Wednesday,1,1,0.8,0.55
2012-07-12,17:00h,795,91,704,3,0,Friday,1,1,0.76,0.43
2012-09-27,8:00h,794,20,774,4,0,Friday,1,1,0.62,0.71
2012-07-16,18:00h,794,97,697,3,0,Tuesday,1,1,0.84,0.53
2012-06-08,17:00h,793,114,679,2,0,Saturday,1,1,0.76,0.29
2012-09-07,18:00h,792,95,697,3,0,Saturday,1,1,0.76,0.62
2012-06-25,18:00h,791,100,691,3,0,Tuesday,1,1,0.76,0.27
2012-08-17,17:00h,791,144,647,3,0,Saturday,1,1,0.82,0.36
2012-06-05,18:00h,790,111,679,2,0,Wednesday,1,1,0.6,0.43
2012-09-20,8:00h,790,44,746,3,0,Friday,1,1,0.5,0.68
2012-10-18,18:00h,788,68,720,4,0,Friday,1,2,0.56,0.64
2012-07-25,8:00h,788,43,745,3,0,Thursday,1,1,0.7,0.42
2012-10-22,18:00h,786,60,726,4,0,Tuesday,1,1,0.54,0.64
2012-05-31,18:00h,785,85,700,2,0,Friday,1,1,0.74,0.3
2012-05-22,18:00h,785,76,709,2,0,Wednesday,1,1,0.68,0.61
2012-10-05,8:00h,785,36,749,4,0,Saturday,1,1,0.58,0.64
2012-05-22,17:00h,785,69,716,2,0,Wednesday,1,1,0.72,0.54
2012-10-09,18:00h,784,26,758,4,0,Wednesday,1,2,0.5,0.72
2012-10-01,8:00h,784,40,744,4,0,Tuesday,1,2,0.46,0.77
2012-09-15,16:00h,783,350,433,3,0,Sunday,0,2,0.66,0.36
2012-08-22,17:00h,783,72,711,3,0,Thursday,1,3,0.74,0.55
2012-03-14,17:00h,782,140,642,1,0,Thursday,1,1,0.7,0.28
2012-06-06,18:00h,782,94,688,2,0,Thursday,1,3,0.6,0.53
2012-04-17,17:00h,781,108,673,2,0,Wednesday,1,1,0.64,0.25
2012-05-29,17:00h,781,107,674,2,0,Wednesday,1,1,0.82,0.46
2012-03-21,18:00h,779,152,627,2,0,Thursday,1,1,0.6,0.69
2012-10-25,8:00h,779,33,746,4,0,Friday,1,2,0.52,0.83
2012-05-11,17:00h,779,102,677,2,0,Saturday,1,1,0.64,0.23
2012-07-19,18:00h,777,93,684,3,0,Friday,1,1,0.86,0.41
2012-04-19,18:00h,776,99,677,2,0,Friday,1,1,0.6,0.43
2012-09-23,12:00h,776,250,526,4,0,Monday,0,1,0.56,0.43
2012-04-17,18:00h,775,105,670,2,0,Wednesday,1,1,0.64,0.25
2012-09-17,18:00h,774,66,708,3,0,Tuesday,1,2,0.62,0.73
2012-09-07,17:00h,772,88,684,3,0,Saturday,1,1,0.78,0.59
2012-07-17,18:00h,772,60,712,3,0,Wednesday,1,1,0.9,0.33
2012-07-19,17:00h,771,93,678,3,0,Friday,1,1,0.86,0.41
2012-09-12,8:00h,770,43,727,3,0,Thursday,1,1,0.56,0.64
2012-07-17,17:00h,770,95,675,3,0,Wednesday,1,1,0.92,0.29
2012-05-10,18:00h,770,109,661,2,0,Friday,1,1,0.56,0.35
2012-05-07,17:00h,769,102,667,2,0,Tuesday,1,2,0.6,0.53
2012-08-02,18:00h,767,86,681,3,0,Friday,1,1,0.8,0.59
2012-09-14,8:00h,766,51,715,3,0,Saturday,1,2,0.6,0.78
2012-10-15,17:00h,766,96,670,4,0,Tuesday,1,1,0.56,0.64
2012-10-23,8:00h,761,28,733,4,0,Wednesday,1,2,0.46,0.72
2012-10-05,18:00h,761,106,655,4,0,Saturday,1,1,0.64,0.57
2012-07-31,8:00h,760,30,730,3,0,Wednesday,1,1,0.7,0.79
2012-10-27,13:00h,760,310,450,4,0,Sunday,0,1,0.6,0.43
2012-12-05,8:00h,759,22,737,4,0,Thursday,1,2,0.44,0.58
2012-04-04,18:00h,759,113,646,2,0,Thursday,1,1,0.66,0.41
2012-09-13,8:00h,758,33,725,3,0,Friday,1,1,0.56,0.73
2012-09-21,8:00h,757,31,726,3,0,Saturday,1,1,0.54,0.73
2012-09-09,12:00h,757,247,510,3,0,Monday,0,1,0.66,0.47
2012-04-03,17:00h,757,123,634,2,0,Wednesday,1,1,0.62,0.17
2012-07-16,17:00h,755,86,669,3,0,Tuesday,1,3,0.76,0.66
2012-08-30,8:00h,754,53,701,3,0,Friday,1,1,0.66,0.65
2012-05-24,18:00h,752,118,634,2,0,Friday,1,1,0.72,0.54
2012-07-30,8:00h,751,31,720,3,0,Tuesday,1,2,0.72,0.74
2012-09-24,8:00h,750,31,719,4,0,Tuesday,1,1,0.5,0.55
2012-09-11,8:00h,750,48,702,3,0,Wednesday,1,1,0.54,0.68
2012-09-22,15:00h,750,307,443,3,0,Sunday,0,1,0.74,0.48
2012-10-27,14:00h,750,325,425,4,0,Sunday,0,1,0.6,0.46
2012-09-29,14:00h,750,302,448,4,0,Sunday,0,1,0.6,0.4
2012-03-20,17:00h,750,108,642,1,0,Wednesday,1,1,0.6,0.73
2012-03-14,18:00h,749,102,647,1,0,Thursday,1,1,0.7,0.32
2012-04-19,17:00h,748,85,663,2,0,Friday,1,1,0.6,0.43
2012-07-02,17:00h,747,82,665,3,0,Tuesday,1,1,0.84,0.32
2012-03-15,18:00h,746,98,648,1,0,Friday,1,1,0.66,0.44
2012-05-18,8:00h,745,49,696,2,0,Saturday,1,1,0.52,0.59
2012-10-12,8:00h,745,34,711,4,0,Saturday,1,1,0.42,0.71
2012-06-13,18:00h,744,104,640,2,0,Thursday,1,1,0.72,0.32
2012-08-24,8:00h,744,41,703,3,0,Saturday,1,2,0.66,0.74
2012-04-04,17:00h,744,99,645,2,0,Thursday,1,1,0.66,0.41
2012-04-10,17:00h,744,88,656,2,0,Wednesday,1,1,0.56,0.21
2012-05-01,18:00h,743,81,662,2,0,Wednesday,1,1,0.7,0.54
2012-10-06,12:00h,743,362,381,4,0,Sunday,0,1,0.7,0.54
2012-07-24,8:00h,743,49,694,3,0,Wednesday,1,1,0.74,0.7
2012-12-04,17:00h,743,43,700,4,0,Wednesday,1,1,0.52,0.59
2012-10-11,19:00h,743,81,662,4,0,Friday,1,1,0.44,0.51
2012-07-23,18:00h,741,69,672,3,0,Tuesday,1,1,0.82,0.46
2012-08-03,17:00h,741,95,646,3,0,Saturday,1,2,0.84,0.53
2012-08-22,8:00h,740,37,703,3,0,Thursday,1,1,0.64,0.73
2012-08-02,8:00h,739,21,718,3,0,Friday,1,1,0.72,0.74
2012-04-13,17:00h,738,117,621,2,0,Saturday,1,1,0.56,0.24
2012-07-23,8:00h,738,47,691,3,0,Tuesday,1,1,0.72,0.79
2012-07-26,17:00h,738,110,628,3,0,Friday,1,1,0.9,0.45
2012-10-04,8:00h,738,27,711,4,0,Friday,1,1,0.64,0.89
2012-10-15,8:00h,737,24,713,4,0,Tuesday,1,2,0.6,0.64
2012-08-08,8:00h,737,48,689,3,0,Thursday,1,2,0.74,0.72
2012-08-24,18:00h,736,109,627,3,0,Saturday,1,2,0.72,0.62
2012-03-13,18:00h,734,96,638,1,0,Wednesday,1,1,0.7,0.34
2012-10-26,8:00h,734,20,714,4,0,Saturday,1,2,0.54,0.88
2012-05-15,18:00h,733,68,665,2,0,Wednesday,1,1,0.7,0.61
2012-05-10,17:00h,732,84,648,2,0,Friday,1,1,0.6,0.31
2012-04-25,17:00h,732,68,664,2,0,Thursday,1,1,0.6,0.2
2012-10-20,17:00h,731,347,384,4,0,Sunday,0,1,0.54,0.37
2012-12-03,8:00h,731,19,712,4,0,Tuesday,1,1,0.36,0.93
2012-12-04,18:00h,731,38,693,4,0,Wednesday,1,1,0.5,0.63
2012-08-10,17:00h,730,111,619,3,0,Saturday,1,1,0.8,0.52
2012-05-19,14:00h,730,361,369,2,0,Sunday,0,1,0.72,0.3
2012-09-10,8:00h,730,33,697,3,0,Tuesday,1,1,0.56,0.6
2012-07-02,18:00h,730,72,658,3,0,Tuesday,1,1,0.84,0.32
2012-11-30,8:00h,729,20,709,4,0,Saturday,1,2,0.22,0.8
2012-05-02,17:00h,729,70,659,2,0,Thursday,1,1,0.6,0.73
2012-07-26,8:00h,729,49,680,3,0,Friday,1,2,0.7,0.74
2012-04-02,17:00h,729,128,601,2,0,Tuesday,1,1,0.5,0.29
2012-09-09,13:00h,729,238,491,3,0,Monday,0,1,0.68,0.39
2012-09-15,17:00h,729,295,434,3,0,Sunday,0,2,0.66,0.36
2012-03-21,17:00h,729,113,616,2,0,Thursday,1,1,0.6,0.69
2012-10-22,8:00h,728,32,696,4,0,Tuesday,1,1,0.44,0.67
2012-09-29,15:00h,727,271,456,4,0,Sunday,0,1,0.6,0.43
2012-09-05,8:00h,725,33,692,3,0,Thursday,1,1,0.72,0.74
2012-11-11,15:00h,724,304,420,4,0,Monday,0,1,0.56,0.37
2012-12-11,8:00h,724,16,708,4,0,Wednesday,1,2,0.34,0.61
2012-06-06,17:00h,724,72,652,2,0,Thursday,1,1,0.62,0.43
2012-10-31,17:00h,723,39,684,4,0,Thursday,1,2,0.4,0.58
2012-06-18,17:00h,723,54,669,2,0,Tuesday,1,2,0.6,0.73
2012-08-21,8:00h,723,27,696,3,0,Wednesday,1,1,0.6,0.78
2012-06-08,18:00h,723,147,576,2,0,Saturday,1,1,0.76,0.27
2012-09-23,17:00h,723,227,496,4,0,Monday,0,1,0.56,0.35
2012-09-29,16:00h,722,275,447,4,0,Sunday,0,1,0.62,0.41
2012-07-03,17:00h,722,102,620,3,0,Wednesday,1,2,0.86,0.3
2012-12-04,8:00h,721,21,700,4,0,Wednesday,1,2,0.44,0.88
2012-03-19,17:00h,721,106,615,1,0,Tuesday,1,1,0.64,0.53
2012-06-14,8:00h,719,37,682,2,0,Friday,1,1,0.6,0.64
2012-09-07,8:00h,719,29,690,3,0,Saturday,1,1,0.66,0.83
2012-05-23,8:00h,719,38,681,2,0,Thursday,1,1,0.58,0.83
2012-05-08,17:00h,717,77,640,2,0,Wednesday,1,2,0.64,0.69
2012-07-20,17:00h,715,95,620,3,0,Saturday,1,2,0.66,0.89
2012-09-15,14:00h,715,325,390,3,0,Sunday,0,1,0.68,0.34
2012-10-02,17:00h,715,38,677,4,0,Wednesday,1,3,0.62,0.88
2012-10-20,13:00h,714,273,441,4,0,Sunday,0,1,0.56,0.43
2012-03-15,17:00h,713,79,634,1,0,Friday,1,1,0.7,0.39
2012-06-13,8:00h,713,41,672,2,0,Thursday,1,2,0.62,0.73
2012-10-09,8:00h,713,15,698,4,0,Wednesday,1,2,0.42,0.8
2012-07-13,8:00h,713,53,660,3,0,Saturday,1,2,0.7,0.54
2012-03-12,18:00h,712,89,623,1,0,Tuesday,1,2,0.6,0.43
2012-04-16,17:00h,712,111,601,2,1,Tuesday,0,1,0.8,0.33
2012-09-29,17:00h,712,256,456,4,0,Sunday,0,1,0.6,0.38
2012-10-20,15:00h,711,308,403,4,0,Sunday,0,1,0.56,0.43
2012-10-20,14:00h,711,335,376,4,0,Sunday,0,1,0.56,0.4
2012-11-16,8:00h,711,17,694,4,0,Saturday,1,2,0.32,0.57
2012-10-27,15:00h,711,310,401,4,0,Sunday,0,2,0.56,0.6
2012-05-08,18:00h,710,69,641,2,0,Wednesday,1,2,0.64,0.69
2012-05-29,18:00h,710,78,632,2,0,Wednesday,1,1,0.8,0.49
2012-10-06,13:00h,710,310,400,4,0,Sunday,0,2,0.64,0.57
2012-06-05,8:00h,710,30,680,2,0,Wednesday,1,2,0.48,0.77
2012-04-25,18:00h,709,60,649,2,0,Thursday,1,1,0.6,0.2
2012-12-03,17:00h,708,43,665,4,0,Tuesday,1,1,0.52,0.63
2012-08-23,8:00h,707,45,662,3,0,Friday,1,2,0.66,0.74
2012-09-22,13:00h,707,273,434,3,0,Sunday,0,1,0.74,0.51
2012-09-15,12:00h,706,287,419,3,0,Sunday,0,1,0.66,0.36
2012-05-03,18:00h,706,64,642,2,0,Friday,1,1,0.72,0.58
2012-09-28,8:00h,705,31,674,4,0,Saturday,1,1,0.6,0.83
2012-05-09,17:00h,705,76,629,2,0,Thursday,1,2,0.64,0.53
2012-06-28,17:00h,705,71,634,3,0,Friday,1,1,0.88,0.22
2012-08-07,8:00h,705,41,664,3,0,Wednesday,1,2,0.7,0.7
2012-05-19,13:00h,704,332,372,2,0,Sunday,0,1,0.7,0.37
2012-09-15,13:00h,704,327,377,3,0,Sunday,0,1,0.68,0.36
2012-05-03,17:00h,704,87,617,2,0,Friday,1,1,0.72,0.54
2012-04-10,18:00h,704,78,626,2,0,Wednesday,1,1,0.54,0.22
2012-10-20,12:00h,703,267,436,4,0,Sunday,0,1,0.56,0.46
2012-03-29,17:00h,703,83,620,2,0,Friday,1,1,0.52,0.38
2012-07-12,8:00h,702,49,653,3,0,Friday,1,1,0.68,0.65
2012-09-23,13:00h,702,257,445,4,0,Monday,0,1,0.6,0.38
2012-06-02,15:00h,702,297,405,2,0,Sunday,0,1,0.64,0.38
2012-04-27,17:00h,702,89,613,2,0,Saturday,1,1,0.54,0.24
2012-09-09,16:00h,701,228,473,3,0,Monday,0,1,0.68,0.36
2012-04-20,8:00h,700,32,668,2,0,Saturday,1,1,0.44,0.94
2012-06-08,8:00h,700,37,663,2,0,Saturday,1,1,0.58,0.6
2012-07-27,17:00h,699,101,598,3,0,Saturday,1,1,0.86,0.41
2012-08-27,8:00h,699,29,670,3,0,Tuesday,1,1,0.66,0.83
2012-07-25,19:00h,698,116,582,3,0,Thursday,1,1,0.76,0.33
2012-08-09,8:00h,698,28,670,3,0,Friday,1,1,0.72,0.74
2012-04-05,18:00h,698,80,618,2,0,Friday,1,1,0.5,0.31
2012-06-28,18:00h,697,100,597,3,0,Friday,1,1,0.86,0.25
2012-09-09,15:00h,696,284,412,3,0,Monday,0,1,0.72,0.32
2012-06-01,8:00h,694,19,675,2,0,Saturday,1,2,0.64,0.89
2012-09-16,13:00h,694,240,454,3,0,Monday,0,1,0.64,0.41
2012-09-08,12:00h,694,220,474,3,0,Sunday,0,1,0.8,0.55
2012-11-09,8:00h,693,25,668,4,0,Saturday,1,1,0.32,0.57
2012-06-15,18:00h,693,121,572,2,0,Saturday,1,1,0.72,0.39
2012-05-31,8:00h,693,18,675,2,0,Friday,1,1,0.62,0.57
2012-08-28,8:00h,693,25,668,3,0,Wednesday,1,2,0.66,0.85
2012-10-11,18:00h,692,64,628,4,0,Friday,1,1,0.46,0.44
2012-11-28,8:00h,692,9,683,4,0,Thursday,1,1,0.24,0.6
2012-12-03,18:00h,692,26,666,4,0,Tuesday,1,1,0.5,0.68
2012-04-10,8:00h,692,22,670,2,0,Wednesday,1,1,0.38,0.62
2012-05-24,8:00h,692,33,659,2,0,Friday,1,1,0.62,0.73
2012-09-23,16:00h,691,254,437,4,0,Monday,0,1,0.6,0.33
2012-06-20,17:00h,691,80,611,2,0,Thursday,1,1,0.9,0.37
2012-04-24,17:00h,691,72,619,2,0,Wednesday,1,1,0.52,0.22
2012-10-20,16:00h,691,325,366,4,0,Sunday,0,1,0.54,0.42
2012-11-14,8:00h,691,27,664,4,0,Thursday,1,1,0.28,0.56
2012-07-20,8:00h,691,39,652,3,0,Saturday,1,2,0.68,0.83
2012-03-17,14:00h,690,352,338,1,0,Sunday,0,1,0.62,0.53
2012-08-31,8:00h,690,36,654,3,0,Saturday,1,2,0.7,0.74
2012-11-01,17:00h,689,37,652,4,0,Friday,1,3,0.4,0.5
2012-07-05,17:00h,689,114,575,3,0,Friday,1,1,0.92,0.35
2012-09-22,12:00h,688,228,460,3,0,Sunday,0,1,0.72,0.54
2012-12-12,8:00h,688,18,670,4,0,Thursday,1,2,0.26,0.65
2012-07-26,18:00h,688,73,615,3,0,Friday,1,1,0.92,0.4
2012-11-02,8:00h,687,31,656,4,0,Saturday,1,1,0.32,0.57
2012-06-27,8:00h,687,49,638,3,0,Thursday,1,1,0.62,0.43
