,Season,Month,Hour (24hr),Weekday,Work Day Status,Weather Situation,Unregistered Users,Registered Users,Total User Count
172,Winter,January,11,Saturday,0,2,2,60,62
173,Winter,January,12,Saturday,0,2,8,90,98
174,Winter,January,13,Saturday,0,1,7,95,102
175,Winter,January,14,Saturday,0,1,12,83,95
176,Winter,January,15,Saturday,0,1,5,69,74
177,Winter,January,16,Saturday,0,1,8,68,76
178,Winter,January,17,Saturday,0,1,5,64,69
179,Winter,January,18,Saturday,0,1,3,52,55
180,Winter,January,19,Saturday,0,1,4,26,30
181,Winter,January,20,Saturday,0,1,0,28,28
182,Winter,January,21,Saturday,0,1,2,35,37
183,Winter,January,22,Saturday,0,1,1,33,34
184,Winter,January,23,Saturday,0,1,0,22,22
185,Winter,January,0,Sunday,0,1,1,24,25
186,Winter,January,1,Sunday,0,1,0,12,12
187,Winter,January,2,Sunday,0,1,0,11,11
188,Winter,January,3,Sunday,0,1,0,4,4
189,Winter,January,4,Sunday,0,1,0,1,1
190,Winter,January,5,Sunday,0,1,0,1,1
191,Winter,January,6,Sunday,0,1,0,1,1
192,Winter,January,7,Sunday,0,1,1,5,6
193,Winter,January,8,Sunday,0,1,0,10,10
194,Winter,January,9,Sunday,0,1,0,19,19
195,Winter,January,10,Sunday,0,1,0,49,49
196,Winter,January,11,Sunday,0,1,2,47,49
197,Winter,January,12,Sunday,0,1,4,79,83
198,Winter,January,13,Sunday,0,1,6,69,75
199,Winter,January,14,Sunday,0,1,8,64,72
200,Winter,January,15,Sunday,0,1,5,77,82
201,Winter,January,16,Sunday,0,1,13,79,92
202,Winter,January,17,Sunday,0,1,3,59,62
203,Winter,January,18,Sunday,0,1,4,44,48
204,Winter,January,19,Sunday,0,1,1,40,41
205,Winter,January,20,Sunday,0,1,0,38,38
206,Winter,January,21,Sunday,0,1,1,19,20
207,Winter,January,22,Sunday,0,1,5,10,15
208,Winter,January,23,Sunday,0,1,0,6,6
209,Winter,January,0,Monday,1,1,2,3,5
210,Winter,January,1,Monday,1,1,1,0,1
211,Winter,January,2,Monday,1,1,0,3,3
212,Winter,January,3,Monday,1,1,0,1,1
213,Winter,January,4,Monday,1,1,1,2,3
214,Winter,January,5,Monday,1,1,0,3,3
215,Winter,January,6,Monday,1,1,0,31,31
216,Winter,January,7,Monday,1,1,2,75,77
217,Winter,January,8,Monday,1,2,4,184,188
218,Winter,January,9,Monday,1,2,2,92,94
219,Winter,January,10,Monday,1,2,0,31,31
220,Winter,January,11,Monday,1,2,2,28,30
221,Winter,January,12,Monday,1,2,5,47,52
222,Winter,January,13,Monday,1,2,4,50,54
223,Winter,January,14,Monday,1,2,0,47,47
224,Winter,January,15,Monday,1,2,2,43,45
225,Winter,January,16,Monday,1,1,4,70,74
226,Winter,January,17,Monday,1,1,4,174,178
227,Winter,January,18,Monday,1,1,1,154,155
228,Winter,January,19,Monday,1,1,3,92,95
229,Winter,January,20,Monday,1,1,1,73,74
230,Winter,January,21,Monday,1,1,1,37,38
231,Winter,January,22,Monday,1,1,2,22,24
232,Winter,January,23,Monday,1,1,0,18,18
233,Winter,January,0,Tuesday,1,1,2,10,12
234,Winter,January,1,Tuesday,1,1,0,3,3
235,Winter,January,2,Tuesday,1,2,0,3,3
236,Winter,January,5,Tuesday,1,2,0,6,6
237,Winter,January,6,Tuesday,1,2,0,27,27
238,Winter,January,7,Tuesday,1,2,2,97,99
239,Winter,January,8,Tuesday,1,2,3,214,217
240,Winter,January,9,Tuesday,1,2,3,127,130
241,Winter,January,10,Tuesday,1,2,3,51,54
242,Winter,January,11,Tuesday,1,2,4,31,35
243,Winter,January,12,Tuesday,1,2,2,55,57
244,Winter,January,13,Tuesday,1,2,6,46,52
245,Winter,January,14,Tuesday,1,2,3,60,63
246,Winter,January,15,Tuesday,1,2,2,45,47
247,Winter,January,16,Tuesday,1,2,4,72,76
248,Winter,January,17,Tuesday,1,2,6,130,136
249,Winter,January,18,Tuesday,1,3,1,94,95
250,Winter,January,19,Tuesday,1,3,0,51,51
251,Winter,January,20,Tuesday,1,3,0,32,32
252,Winter,January,21,Tuesday,1,3,0,20,20
253,Winter,January,22,Tuesday,1,3,1,28,29
254,Winter,January,23,Tuesday,1,3,1,18,19
255,Winter,January,0,Wednesday,1,2,0,7,7
256,Winter,January,1,Wednesday,1,2,0,6,6
257,Winter,January,2,Wednesday,1,1,0,1,1
258,Winter,January,5,Wednesday,1,1,0,5,5
259,Winter,January,6,Wednesday,1,1,0,16,16
260,Winter,January,7,Wednesday,1,1,0,54,54
261,Winter,January,8,Wednesday,1,1,3,125,128
262,Winter,January,9,Wednesday,1,1,3,78,81
263,Winter,January,10,Wednesday,1,1,0,39,39
264,Winter,January,11,Wednesday,1,1,3,32,35
265,Winter,January,12,Wednesday,1,1,3,52,55
266,Winter,January,13,Wednesday,1,1,0,49,49
267,Winter,January,14,Wednesday,1,1,0,44,44
268,Winter,January,15,Wednesday,1,1,1,48,49
269,Winter,January,16,Wednesday,1,1,5,63,68
270,Winter,January,17,Wednesday,1,1,0,139,139
271,Winter,January,18,Wednesday,1,1,2,135,137
272,Winter,January,19,Wednesday,1,1,1,82,83
273,Winter,January,20,Wednesday,1,1,2,54,56
274,Winter,January,21,Wednesday,1,1,0,57,57
275,Winter,January,22,Wednesday,1,1,1,32,33
276,Winter,January,23,Wednesday,1,1,1,19,20
277,Winter,January,0,Thursday,1,1,1,6,7
278,Winter,January,1,Thursday,1,1,0,2,2
279,Winter,January,2,Thursday,1,1,0,2,2
280,Winter,January,3,Thursday,1,1,0,3,3
281,Winter,January,4,Thursday,1,1,0,4,4
282,Winter,January,5,Thursday,1,1,0,3,3
283,Winter,January,6,Thursday,1,1,0,28,28
284,Winter,January,7,Thursday,1,1,0,72,72
285,Winter,January,8,Thursday,1,1,5,197,202
286,Winter,January,9,Thursday,1,1,2,137,139
287,Winter,January,10,Thursday,1,2,2,36,38
288,Winter,January,11,Thursday,1,2,4,33,37
289,Winter,January,12,Thursday,1,1,3,49,52
290,Winter,January,13,Thursday,1,1,2,81,83
291,Winter,January,14,Thursday,1,1,3,39,42
292,Winter,January,15,Thursday,1,1,5,55,60
293,Winter,January,16,Thursday,1,1,2,76,78
294,Winter,January,17,Thursday,1,1,4,158,162
295,Winter,January,18,Thursday,1,1,3,141,144
296,Winter,January,19,Thursday,1,1,1,98,99
297,Winter,January,20,Thursday,1,1,0,64,64
298,Winter,January,21,Thursday,1,1,0,40,40
299,Winter,January,22,Thursday,1,1,0,30,30
300,Winter,January,23,Thursday,1,1,1,14,15
301,Winter,January,0,Friday,1,1,0,14,14
302,Winter,January,1,Friday,1,1,0,5,5
303,Winter,January,2,Friday,1,1,0,1,1
304,Winter,January,3,Friday,1,1,0,1,1
305,Winter,January,5,Friday,1,1,0,8,8
306,Winter,January,6,Friday,1,1,0,17,17
307,Winter,January,7,Friday,1,1,0,70,70
308,Winter,January,8,Friday,1,1,2,156,158
309,Winter,January,9,Friday,1,1,0,117,117
310,Winter,January,10,Friday,1,1,4,40,44
311,Winter,January,11,Friday,1,1,6,47,53
312,Winter,January,12,Friday,1,1,2,59,61
313,Winter,January,13,Friday,1,1,4,73,77
314,Winter,January,14,Friday,1,1,5,59,64
315,Winter,January,15,Friday,1,1,9,59,68
316,Winter,January,16,Friday,1,1,3,87,90
317,Winter,January,17,Friday,1,1,4,155,159
318,Winter,January,18,Friday,1,1,5,134,139
319,Winter,January,19,Friday,1,1,3,89,92
320,Winter,January,20,Friday,1,1,0,68,68
321,Winter,January,21,Friday,1,1,4,48,52
322,Winter,January,22,Friday,1,2,2,34,36
323,Winter,January,23,Friday,1,2,1,26,27
324,Winter,January,0,Saturday,0,1,3,25,28
325,Winter,January,1,Saturday,0,2,2,18,20
326,Winter,January,2,Saturday,0,2,0,12,12
327,Winter,January,3,Saturday,0,2,1,7,8
328,Winter,January,4,Saturday,0,2,0,5,5
329,Winter,January,5,Saturday,0,1,0,1,1
330,Winter,January,6,Saturday,0,1,1,2,3
331,Winter,January,7,Saturday,0,1,1,9,10
332,Winter,January,8,Saturday,0,1,1,22,23
333,Winter,January,9,Saturday,0,1,2,31,33
334,Winter,January,10,Saturday,0,1,2,57,59
335,Winter,January,11,Saturday,0,1,18,54,72
336,Winter,January,12,Saturday,0,1,15,74,89
337,Winter,January,13,Saturday,0,1,21,80,101
338,Winter,January,14,Saturday,0,1,26,92,118
339,Winter,January,15,Saturday,0,2,21,108,129
340,Winter,January,16,Saturday,0,2,33,95,128
341,Winter,January,17,Saturday,0,2,29,54,83
342,Winter,January,18,Saturday,0,2,15,69,84
343,Winter,January,19,Saturday,0,2,14,60,74
344,Winter,January,20,Saturday,0,2,6,35,41
345,Winter,January,21,Saturday,0,2,6,51,57
346,Winter,January,22,Saturday,0,2,0,26,26
347,Winter,January,23,Saturday,0,1,5,39,44
348,Winter,January,0,Sunday,0,1,6,33,39
349,Winter,January,1,Sunday,0,1,4,19,23
350,Winter,January,2,Sunday,0,1,3,13,16
351,Winter,January,3,Sunday,0,1,9,6,15
352,Winter,January,4,Sunday,0,1,0,1,1
353,Winter,January,5,Sunday,0,2,1,1,2
354,Winter,January,6,Sunday,0,2,0,1,1
355,Winter,January,7,Sunday,0,2,0,3,3
356,Winter,January,8,Sunday,0,1,0,18,18
357,Winter,January,9,Sunday,0,1,3,29,32
358,Winter,January,10,Sunday,0,1,8,71,79
359,Winter,January,11,Sunday,0,1,23,70,93
360,Winter,January,12,Sunday,0,1,29,75,104
361,Winter,January,13,Sunday,0,1,23,95,118
362,Winter,January,14,Sunday,0,1,22,69,91
363,Winter,January,15,Sunday,0,1,35,78,113
364,Winter,January,16,Sunday,0,1,22,77,99
365,Winter,January,17,Sunday,0,1,23,82,105
366,Winter,January,18,Sunday,0,1,11,56,67
367,Winter,January,19,Sunday,0,1,14,47,61
368,Winter,January,20,Sunday,0,1,7,50,57
369,Winter,January,21,Sunday,0,1,6,22,28
370,Winter,January,22,Sunday,0,2,2,19,21
371,Winter,January,23,Sunday,0,2,0,18,18
372,Winter,January,0,Monday,0,2,1,16,17
373,Winter,January,1,Monday,0,2,1,15,16
374,Winter,January,2,Monday,0,2,0,8,8
375,Winter,January,3,Monday,0,2,0,2,2
376,Winter,January,4,Monday,0,2,1,2,3
377,Winter,January,5,Monday,0,2,0,1,1
378,Winter,January,6,Monday,0,2,0,5,5
379,Winter,January,7,Monday,0,2,4,9,13
380,Winter,January,8,Monday,0,2,3,30,33
381,Winter,January,9,Monday,0,2,8,39,47
382,Winter,January,10,Monday,0,2,7,50,57
383,Winter,January,11,Monday,0,2,9,55,64
384,Winter,January,12,Monday,0,2,10,70,80
385,Winter,January,13,Monday,0,2,13,80,93
386,Winter,January,14,Monday,0,2,12,74,86
387,Winter,January,15,Monday,0,2,21,72,93
388,Winter,January,16,Monday,0,2,6,76,82
389,Winter,January,17,Monday,0,1,4,67,71
390,Winter,January,18,Monday,0,2,7,85,92
391,Winter,January,19,Monday,0,3,2,58,60
392,Winter,January,20,Monday,0,3,4,29,33
393,Winter,January,21,Monday,0,3,3,24,27
394,Winter,January,22,Monday,0,3,0,13,13
395,Winter,January,23,Monday,0,3,1,3,4
396,Winter,January,12,Tuesday,1,2,0,3,3
397,Winter,January,13,Tuesday,1,2,0,22,22
398,Winter,January,14,Tuesday,1,2,2,26,28
399,Winter,January,15,Tuesday,1,2,3,32,35
400,Winter,January,16,Tuesday,1,2,0,61,61
401,Winter,January,17,Tuesday,1,2,1,124,125
402,Winter,January,18,Tuesday,1,2,1,132,133
403,Winter,January,19,Tuesday,1,2,1,98,99
404,Winter,January,20,Tuesday,1,2,0,83,83
405,Winter,January,21,Tuesday,1,2,0,41,41
406,Winter,January,22,Tuesday,1,2,0,33,33
407,Winter,January,23,Tuesday,1,2,1,19,20
408,Winter,January,0,Wednesday,1,2,0,3,3
409,Winter,January,1,Wednesday,1,3,1,6,7
410,Winter,January,2,Wednesday,1,3,0,3,3
411,Winter,January,4,Wednesday,1,3,1,1,2
412,Winter,January,5,Wednesday,1,2,0,7,7
413,Winter,January,6,Wednesday,1,2,0,32,32
414,Winter,January,7,Wednesday,1,2,1,89,90
415,Winter,January,8,Wednesday,1,2,1,196,197
416,Winter,January,9,Wednesday,1,2,2,107,109
417,Winter,January,10,Wednesday,1,2,1,46,47
418,Winter,January,11,Wednesday,1,2,5,47,52
419,Winter,January,12,Wednesday,1,2,5,65,70
420,Winter,January,13,Wednesday,1,1,11,67,78
421,Winter,January,14,Wednesday,1,1,7,68,75
422,Winter,January,15,Wednesday,1,1,4,78,82
423,Winter,January,16,Wednesday,1,1,10,94,104
424,Winter,January,17,Wednesday,1,1,7,190,197
425,Winter,January,18,Wednesday,1,1,5,156,161
426,Winter,January,19,Wednesday,1,1,4,108,112
427,Winter,January,20,Wednesday,1,1,2,74,76
428,Winter,January,21,Wednesday,1,1,4,55,59
429,Winter,January,22,Wednesday,1,1,6,53,59
430,Winter,January,23,Wednesday,1,1,1,27,28
431,Winter,January,0,Thursday,1,1,5,8,13
432,Winter,January,1,Thursday,1,1,2,3,5
433,Winter,January,2,Thursday,1,1,0,2,2
434,Winter,January,3,Thursday,1,1,0,1,1
435,Winter,January,4,Thursday,1,1,0,1,1
436,Winter,January,5,Thursday,1,1,0,6,6
437,Winter,January,6,Thursday,1,1,0,35,35
438,Winter,January,7,Thursday,1,1,1,100,101
439,Winter,January,8,Thursday,1,1,2,247,249
440,Winter,January,9,Thursday,1,2,3,140,143
441,Winter,January,10,Thursday,1,1,1,56,57
442,Winter,January,11,Thursday,1,2,5,63,68
443,Winter,January,12,Thursday,1,2,7,77,84
444,Winter,January,13,Thursday,1,2,12,86,98
445,Winter,January,14,Thursday,1,2,6,75,81
446,Winter,January,15,Thursday,1,2,8,62,70
447,Winter,January,16,Thursday,1,2,8,83,91
448,Winter,January,17,Thursday,1,2,8,207,215
449,Winter,January,18,Thursday,1,2,1,184,185
450,Winter,January,19,Thursday,1,1,6,146,152
451,Winter,January,20,Thursday,1,2,2,124,126
452,Winter,January,21,Thursday,1,2,3,54,57
453,Winter,January,22,Thursday,1,2,0,56,56
454,Winter,January,23,Thursday,1,2,3,28,31
455,Winter,January,0,Friday,1,2,1,20,21
456,Winter,January,1,Friday,1,2,0,6,6
457,Winter,January,2,Friday,1,3,0,2,2
458,Winter,January,3,Friday,1,3,0,1,1
459,Winter,January,4,Friday,1,2,0,1,1
460,Winter,January,5,Friday,1,1,1,4,5
461,Winter,January,6,Friday,1,1,0,27,27
462,Winter,January,7,Friday,1,1,2,66,68
463,Winter,January,8,Friday,1,1,7,210,217
464,Winter,January,9,Friday,1,1,7,159,166
465,Winter,January,10,Friday,1,1,6,57,63
466,Winter,January,11,Friday,1,1,6,53,59
467,Winter,January,12,Friday,1,1,11,67,78
468,Winter,January,13,Friday,1,1,8,65,73
469,Winter,January,14,Friday,1,1,6,56,62
470,Winter,January,15,Friday,1,1,4,61,65
471,Winter,January,16,Friday,1,1,0,97,97
472,Winter,January,17,Friday,1,1,10,151,161
473,Winter,January,18,Friday,1,1,1,119,120
474,Winter,January,19,Friday,1,1,3,93,96
475,Winter,January,20,Friday,1,1,1,52,53
476,Winter,January,21,Friday,1,1,0,41,41
477,Winter,January,22,Friday,1,1,1,33,34
478,Winter,January,23,Friday,1,1,0,27,27
479,Winter,January,0,Saturday,0,1,0,13,13
480,Winter,January,1,Saturday,0,2,3,9,12
481,Winter,January,2,Saturday,0,2,0,11,11
482,Winter,January,3,Saturday,0,2,1,6,7
483,Winter,January,4,Saturday,0,2,0,3,3
484,Winter,January,6,Saturday,0,2,0,2,2
485,Winter,January,7,Saturday,0,1,0,8,8
486,Winter,January,8,Saturday,0,1,1,26,27
487,Winter,January,9,Saturday,0,1,3,37,40
488,Winter,January,10,Saturday,0,2,3,50,53
489,Winter,January,11,Saturday,0,2,4,59,63
490,Winter,January,12,Saturday,0,2,10,60,70
491,Winter,January,13,Saturday,0,1,12,72,84
492,Winter,January,14,Saturday,0,1,11,64,75
493,Winter,January,15,Saturday,0,1,10,93,103
494,Winter,January,16,Saturday,0,1,11,72,83
495,Winter,January,17,Saturday,0,1,8,59,67
496,Winter,January,18,Saturday,0,1,0,54,54
497,Winter,January,19,Saturday,0,1,6,53,59
498,Winter,January,20,Saturday,0,1,1,44,45
499,Winter,January,21,Saturday,0,1,0,39,39
500,Winter,January,22,Saturday,0,1,7,23,30
501,Winter,January,23,Saturday,0,1,2,31,33
502,Winter,January,0,Sunday,0,1,2,20,22
503,Winter,January,1,Sunday,0,1,1,12,13
504,Winter,January,2,Sunday,0,1,3,15,18
505,Winter,January,3,Sunday,0,1,1,4,5
506,Winter,January,5,Sunday,0,2,0,3,3
507,Winter,January,6,Sunday,0,2,0,1,1
508,Winter,January,7,Sunday,0,1,1,1,2
509,Winter,January,8,Sunday,0,1,2,17,19
510,Winter,January,9,Sunday,0,1,3,25,28
511,Winter,January,10,Sunday,0,1,7,51,58
512,Winter,January,11,Sunday,0,1,22,77,99
513,Winter,January,12,Sunday,0,1,24,92,116
514,Winter,January,13,Sunday,0,1,12,75,87
515,Winter,January,14,Sunday,0,1,17,93,110
516,Winter,January,15,Sunday,0,1,13,64,77
517,Winter,January,16,Sunday,0,1,9,56,65
518,Winter,January,17,Sunday,0,1,5,50,55
519,Winter,January,18,Sunday,0,1,5,44,49
520,Winter,January,19,Sunday,0,1,5,45,50
521,Winter,January,20,Sunday,0,1,4,31,35
522,Winter,January,21,Sunday,0,1,5,20,25
523,Winter,January,22,Sunday,0,1,5,23,28
524,Winter,January,23,Sunday,0,1,4,17,21
525,Winter,January,0,Monday,1,1,0,7,7
526,Winter,January,1,Monday,1,1,0,1,1
527,Winter,January,3,Monday,1,1,0,1,1
528,Winter,January,4,Monday,1,1,0,1,1
529,Winter,January,5,Monday,1,1,0,5,5
530,Winter,January,6,Monday,1,1,0,15,15
531,Winter,January,7,Monday,1,1,5,79,84
532,Winter,January,8,Monday,1,1,6,171,177
533,Winter,January,9,Monday,1,1,4,98,102
534,Winter,January,10,Monday,1,1,6,34,40
535,Winter,January,11,Monday,1,1,3,43,46
536,Winter,January,12,Monday,1,2,11,52,63
537,Winter,January,13,Monday,1,2,6,54,60
538,Winter,January,14,Monday,1,2,2,43,45
539,Winter,January,15,Monday,1,1,7,50,57
540,Winter,January,16,Monday,1,1,4,66,70
541,Winter,January,17,Monday,1,1,6,178,184
542,Winter,January,18,Monday,1,1,8,145,153
543,Winter,January,19,Monday,1,1,5,101,106
544,Winter,January,20,Monday,1,1,1,80,81
545,Winter,January,21,Monday,1,1,6,53,59
546,Winter,January,22,Monday,1,2,3,32,35
547,Winter,January,23,Monday,1,2,3,21,24
548,Winter,January,0,Tuesday,1,2,3,6,9
549,Winter,January,1,Tuesday,1,2,0,5,5
550,Winter,January,2,Tuesday,1,1,0,2,2
551,Winter,January,4,Tuesday,1,1,0,1,1
552,Winter,January,5,Tuesday,1,1,0,9,9
553,Winter,January,6,Tuesday,1,1,1,35,36
554,Winter,January,7,Tuesday,1,1,5,103,108
555,Winter,January,8,Tuesday,1,2,5,233,238
